,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9672,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19124031.0,19124031.0,,1,,,,2022-08-17T15:36:00.000Z,23431.818028501508,30696980826.83044,7.4377,-0.04534468,-1.69041567,-2.49152219,5.5597756,22.7676334,-22.60033562,448110814363.4217,40.0346,492068178598.53,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
1,1027,Ethereum,ETH,ethereum,6008,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,122000712.0615,122000712.0615,,2,,,,2022-08-17T15:36:00.000Z,1835.0567432125256,19331099649.07308,16.6909,0.06830796,-2.65641242,-0.50282254,23.92814484,84.45015787,-8.93019104,223878229345.18527,20.0015,223878229345.19,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
2,825,Tether,USDT,tether,38308,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67565962655.048164,69158976373.56549,,3,,,,2022-08-17T15:36:00.000Z,1.0000995401109836,52724607664.81017,6.9988,0.00111286,0.00050894,-0.03079329,0.02038489,0.13535365,0.12158353,67572688178.46956,6.037,69165860465.75,,2022-08-17T15:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-17 15:38:33.638456
3,3408,USD Coin,USDC,usd-coin,5774,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53436646601.040565,53436646601.040565,,4,,,,2022-08-17T15:36:00.000Z,0.9999135459983663,6755363956.862167,2.4722,-0.01122522,-0.02210193,-0.0073767,-0.01219737,-0.04614686,-0.04297003,53432026789.108025,4.7765,53432026789.11,,2022-08-17T15:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-17 15:38:33.638456
4,1839,BNB,BNB,bnb,1069,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-17T15:36:00.000Z,307.6223352507537,1059600673.4675813,5.4475,-0.04991583,-2.33626278,-8.20598333,17.94691033,53.76736443,0.21466636,49630945019.466354,4.4367,61524467050.15,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
5,52,XRP,XRP,xrp,798,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49377587823.0,99989361309.0,,6,,,,2022-08-17T15:36:00.000Z,0.3729912569280859,1319858368.8920166,41.7835,0.27891873,-0.20794888,-1.50312911,2.86457251,21.73570163,-11.02700141,18417408546.17772,1.6456,37299125692.81,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
6,2010,Cardano,ADA,cardano,550,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34277702081.605,,7,,,,2022-08-17T15:36:00.000Z,0.5355530528638007,1021475574.1649638,32.9553,-0.03303991,-4.16949161,-0.17984868,9.26594484,16.50561605,-0.92274608,18069039722.27142,1.6143,24099887378.87,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
7,4687,Binance USD,BUSD,binance-usd,4754,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,18063917316.969254,18063917316.969254,,8,,,,2022-08-17T15:36:00.000Z,1.0002014128144283,5800346381.770084,5.0054,0.02436842,0.02285848,0.03390745,0.03105671,-0.17418307,-0.10131484,18067555621.395664,1.6144,18067555621.4,,2022-08-17T15:36:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-17 15:38:33.638456
8,5426,Solana,SOL,solana,364,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,348837023.0685559,511616946.142289,,9,,,,2022-08-17T15:36:00.000Z,41.131003985869526,1189723938.7554824,-3.1646,-0.58108114,-4.90802716,-2.84365019,-1.69896155,37.27947737,-22.639746,14348016986.251633,1.2819,21043318651.02,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
9,74,Dogecoin,DOGE,dogecoin,546,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-08-17T15:36:00.000Z,0.08154871316975877,1163071966.0359254,-33.9116,-0.7713915,-3.50736465,14.43770193,20.95734667,53.23204619,-6.17074881,10819130103.904736,0.9672,10819130103.9,,2022-08-17T15:36:00.000Z,,,,,,2022-08-17 15:38:33.638456
